status	gender	major	dorm	year
1	1	199	169	2008
1	1	199	165	2006
1	2	201	171	2008
2	2	208	172	2005
1	2	202	169	2008
1	1	212	168	2007
1	0	0	0	0
1	2	0	171	2008
1	0	0	0	0
1	1	202	167	2007
1	2	199	167	2006
1	1	212	169	0
1	2	209	0	2006
1	2	228	171	2006
1	1	194	166	2008
1	2	202	166	2008
1	2	228	0	2009
2	1	201	170	2005
5	2	196	0	0
1	2	201	170	2008
2	2	200	0	2004
1	2	201	170	2007
2	2	228	171	2003
1	1	199	165	2007
1	1	199	171	2008
1	2	207	167	2006
2	2	199	166	2004
1	1	208	165	2007
5	2	208	0	2005
1	2	223	169	2006
1	2	208	168	2008
2	2	208	169	2003
2	2	228	0	2005
1	2	206	169	2006
2	2	204	167	2001
1	2	208	169	2006
1	2	208	165	2007
1	2	202	171	2006
2	2	208	169	2005
6	2	0	0	0
1	2	199	172	2008
2	1	202	168	2005
5	2	208	0	2004
1	2	222	167	2006
1	1	228	165	2006
2	2	228	0	2005
1	2	223	172	2005
2	2	226	172	1968
1	2	201	166	2006
1	2	199	0	2009
1	1	223	165	2007
2	1	212	0	2005
1	1	202	168	2007
2	2	208	170	2003
1	1	199	167	2006
1	2	228	168	2006
1	1	196	168	2008
1	1	223	172	2006
1	2	207	171	2008
1	1	199	169	2006
1	2	0	171	2008
1	1	209	170	2006
1	2	204	170	2008
1	2	222	168	2007
1	2	228	166	2007
1	2	190	167	2008
2	2	192	0	2004
1	0	0	0	0
1	2	205	168	2008
1	2	190	168	2007
1	2	204	169	2007
2	2	223	169	2005
1	2	223	171	2006
1	0	217	0	0
2	0	0	0	0
1	1	196	166	2006
1	2	205	166	2008
1	2	199	170	2006
1	2	201	169	2006
5	2	204	0	0
2	2	208	169	2005
2	1	209	0	2005
2	2	223	171	2005
1	0	0	168	0
1	2	201	172	2007
1	2	223	170	2007
1	2	199	165	2004
2	1	228	167	2005
1	1	222	0	2006
1	1	199	169	2006
1	2	223	172	2006
1	2	228	167	2007
1	2	205	170	2006
5	2	208	0	2008
1	1	228	171	2007
1	2	223	169	2008
5	2	212	0	0
5	0	0	0	0
5	2	222	0	0
5	2	202	0	0
1	1	205	167	0
1	1	199	167	2009
1	2	223	170	2008
1	2	220	0	2009
1	1	199	172	2007
1	0	0	0	0
2	2	228	169	2005
2	2	208	168	2004
1	2	201	169	2007
1	2	202	166	2009
1	2	217	0	0
1	2	202	172	2006
1	2	192	172	0
1	1	0	172	2006
1	2	223	170	2007
1	2	223	172	2007
2	2	190	172	2005
1	0	223	169	2006
5	1	199	170	2009
1	2	199	169	2008
5	2	204	0	0
2	1	194	165	2004
2	1	228	169	0
2	2	222	0	2004
1	2	222	167	2007
1	2	0	167	2006
1	2	212	168	2007
2	1	202	168	2003
1	1	199	170	2007
2	1	223	171	2005
1	2	228	172	2007
1	0	201	169	2006
1	2	199	168	2007
5	2	199	0	2006
2	2	194	0	2005
1	1	202	171	2006
1	2	192	168	2008
1	2	223	172	2007
1	2	205	168	2008
1	2	208	169	2008
1	1	202	171	0
1	2	228	172	2008
2	2	208	166	2004
1	1	208	168	2008
1	1	199	172	2008
1	2	208	169	2008
2	0	0	0	0
5	0	208	167	2004
1	2	208	171	2007
1	2	222	171	2006
2	0	212	0	2005
1	1	202	0	2007
1	2	204	169	2008
1	2	208	169	2005
1	1	228	166	2008
1	2	202	168	2006
1	1	195	171	2007
1	2	208	172	2006
2	0	0	0	0
2	2	207	169	2004
2	2	192	165	2005
2	1	208	169	2005
5	2	205	0	0
1	2	222	170	0
1	2	201	169	2008
2	2	0	171	2005
1	1	212	170	2007
1	2	222	171	2007
2	2	212	169	1976
1	1	199	165	2006
1	2	199	167	2006
5	2	0	0	0
1	0	0	0	0
1	2	205	167	2007
1	1	196	171	2007
1	2	196	172	2007
1	1	228	166	2006
2	1	201	168	2005
1	2	222	170	2007
1	2	205	167	2008
5	2	196	0	0
2	2	209	167	2002
1	2	196	168	2008
1	0	0	0	0
1	1	208	165	2007
1	2	205	168	2007
1	2	194	172	2008
1	1	228	166	2007
5	2	212	0	0
1	2	0	172	2008
2	2	223	0	2005
1	2	190	168	2008
2	1	223	171	2002
1	0	0	0	0
1	2	199	0	2008
1	2	222	0	2008
1	2	190	167	2008
1	2	228	169	2008
1	2	208	171	2008
1	2	228	168	2007
1	1	202	171	2007
2	1	209	167	2005
1	1	190	166	2008
1	2	228	0	2009
1	2	202	167	2008
2	2	205	172	2002
1	2	0	170	0
1	2	205	167	2006
1	1	223	171	2008
1	2	228	170	2008
1	2	190	168	2005
1	2	223	0	2006
1	2	208	165	2006
1	2	229	167	2008
1	2	228	166	2006
2	1	199	166	2005
1	1	205	169	2006
1	2	223	169	2006
2	1	199	172	2004
1	2	202	168	2006
1	0	0	0	0
1	2	226	169	2006
1	1	196	171	2008
1	2	228	169	0
1	2	222	0	2009
1	0	199	165	2006
1	2	228	168	2008
1	2	222	171	2007
1	1	199	169	2007
2	2	228	166	2005
2	2	222	171	2004
1	2	205	169	2006
1	2	198	171	2006
1	2	0	170	2008
2	2	209	170	2004
1	1	199	171	2008
5	0	0	0	0
1	2	194	167	0
2	1	228	0	2005
1	2	201	169	2006
1	2	223	168	2008
1	1	204	170	2008
1	2	228	170	2008
2	1	202	166	2005
1	1	199	170	2006
2	0	224	0	2004
1	2	228	165	2007
1	2	223	169	2007
2	1	199	169	2005
1	1	223	168	2006
1	1	199	168	2007
1	1	198	165	2006
2	2	199	165	2004
2	1	199	0	2005
1	2	223	170	2006
1	2	190	170	2008
1	2	228	168	2008
2	2	228	171	0
1	2	228	170	2008
1	2	228	166	2006
1	2	205	166	2008
2	2	205	167	2005
1	2	222	166	2008
1	0	0	0	0
2	2	192	0	2004
1	1	202	169	2007
2	1	223	170	2005
1	2	228	169	2006
2	2	228	167	2002
1	2	223	170	2008
2	0	0	0	2005
1	0	0	0	0
1	0	228	0	2008
2	2	202	168	2003
2	1	202	171	2005
2	1	205	169	2005
1	2	223	167	2008
1	2	222	170	2007
2	1	201	169	2005
1	1	208	170	2006
2	2	208	171	2005
1	1	196	166	2008
1	2	228	172	2006
1	2	228	167	2008
1	2	208	168	2006
1	2	222	170	2007
1	1	201	166	2006
1	0	0	0	0
1	1	199	168	2008
1	1	222	166	2007
2	2	207	170	2005
1	1	223	167	2006
1	1	202	170	2007
2	2	208	166	2005
1	1	200	166	2007
1	2	208	167	2007
1	0	0	0	0
1	2	208	170	2008
2	2	199	0	2005
5	0	197	0	2008
1	1	205	171	2008
2	1	212	170	2004
2	1	208	0	2005
1	2	228	172	2008
1	2	208	170	2008
1	0	0	0	0
1	2	208	166	2005
1	2	209	167	2006
1	1	199	168	2007
1	2	208	165	2006
5	2	223	169	2004
1	1	201	169	2007
2	1	199	168	2004
1	2	199	168	2007
1	2	199	172	2007
1	2	222	0	2009
5	0	0	0	0
1	0	0	0	0
1	1	202	170	2006
1	2	205	170	2008
1	1	0	172	2008
1	2	192	167	2007
2	1	202	0	2005
1	1	0	0	0
1	2	205	0	2008
1	2	228	172	2008
5	1	198	0	0
1	0	205	171	2008
5	1	211	0	0
1	1	208	169	2006
2	2	228	171	2005
5	2	204	0	0
1	2	202	172	2006
1	2	223	168	2006
1	2	228	169	2006
1	2	200	170	2007
2	2	192	165	2005
1	2	0	168	2008
1	2	199	166	2007
1	0	201	0	0
1	2	222	169	2008
1	1	222	0	2007
2	1	223	169	2005
1	2	190	169	0
1	2	190	170	2006
2	1	223	169	2004
1	0	217	172	0
1	2	208	170	2006
2	2	201	0	2005
5	2	223	167	2007
1	2	208	165	2007
1	1	202	171	2008
1	2	199	165	2008
2	2	208	169	2004
1	2	205	170	2006
1	2	228	169	2006
2	2	208	169	2005
2	0	0	0	0
1	2	202	167	2006
1	1	199	0	2006
1	2	199	165	2008
1	2	199	0	2009
2	1	200	168	2004
2	2	207	0	2005
1	2	208	165	2006
2	2	209	172	2004
1	1	222	168	2009
1	2	205	172	2007
2	2	208	170	2003
2	2	208	170	2001
1	2	190	171	2008
1	1	221	169	2006
1	2	190	172	2008
1	2	201	168	2006
1	1	199	169	2008
1	2	208	169	2006
1	2	201	169	2006
1	1	199	172	2008
1	2	223	168	2008
1	1	192	166	2010
1	2	209	166	2008
1	2	223	170	0
1	2	205	167	2007
1	2	228	168	2008
2	2	222	172	2004
1	2	205	172	2005
5	2	223	0	2009
1	2	0	0	2009
1	2	194	170	2007
1	1	212	166	2006
1	2	197	167	2008
1	2	205	172	2007
1	1	223	166	2008
1	0	0	0	0
1	2	222	167	2006
1	2	208	165	2006
1	2	206	172	0
2	2	221	0	0
1	2	190	167	2009
2	2	190	166	2005
2	0	0	0	0
5	1	201	0	2005
6	0	0	0	0
1	1	196	171	2008
1	2	208	171	2007
1	1	199	165	2007
1	2	208	169	2006
1	2	208	171	2006
1	1	199	168	2009
1	0	0	0	0
2	2	209	168	2002
1	1	226	166	2008
1	2	202	169	2008
1	2	223	0	2006
2	2	199	170	2005
1	1	212	171	2006
1	2	209	167	2007
1	1	0	166	2008
1	2	228	166	2006
1	2	223	172	2006
1	1	199	166	2008
2	2	202	170	2005
1	1	228	171	2006
1	2	222	166	2008
1	0	0	0	0
1	2	228	172	2007
1	1	222	0	2009
2	2	228	166	2002
5	2	211	169	0
1	1	227	0	0
1	2	202	171	2007
2	2	205	0	2005
1	1	196	169	2006
1	2	199	170	2008
1	2	200	169	2006
1	1	192	169	2008
2	1	194	166	1979
1	0	228	172	2006
2	2	223	166	2003
1	1	205	170	2006
1	1	228	172	2008
1	2	222	165	2006
1	2	199	168	2005
1	1	202	166	2006
2	1	199	0	2005
1	2	0	165	2007
1	1	201	166	2006
1	1	199	0	0
1	2	208	172	2006
1	2	205	167	2007
1	2	199	166	2007
1	1	199	170	2008
1	2	222	172	2008
1	1	201	169	2007
2	2	228	169	2005
5	2	194	0	2007
1	1	199	165	2007
1	2	223	172	2006
1	1	222	171	2005
1	1	223	169	2006
1	2	228	172	2008
1	2	208	170	2008
1	2	208	168	2008
1	0	0	0	0
1	1	208	166	2006
1	2	205	167	2008
1	1	196	0	2006
2	2	197	0	2005
1	1	208	169	2007
1	2	222	170	2005
5	1	202	0	2008
1	0	0	166	0
1	1	199	168	2006
5	1	199	0	0
1	2	222	169	2008
2	2	228	0	2005
1	2	204	0	2006
1	2	202	169	2007
1	2	0	170	2008
1	2	204	167	2008
1	2	228	169	2004
1	1	212	166	2007
1	2	223	169	2008
1	2	208	172	2008
1	1	205	0	2008
1	1	202	172	0
1	1	205	166	2008
1	2	228	170	2006
1	2	0	167	2008
1	1	202	166	2008
1	0	0	0	0
1	2	208	168	0
2	2	190	169	2004
2	1	211	170	2004
1	1	199	168	2008
1	2	228	0	2005
1	2	201	172	2007
1	2	228	169	2008
1	1	212	169	2005
1	2	228	168	2007
2	0	0	0	0
1	2	202	171	2007
1	1	201	169	2008
1	2	208	167	2008
1	0	0	0	0
1	2	228	167	2006
2	2	228	168	1996
1	0	0	0	0
2	2	202	165	2005
1	2	201	172	2006
1	1	228	169	2008
1	1	208	166	2006
5	2	212	0	2008
1	2	223	166	2007
1	2	223	170	2006
1	1	199	168	2006
1	1	199	0	2007
1	1	199	165	2006
1	2	192	172	2007
1	1	223	171	2008
1	1	228	170	2007
5	2	221	165	0
1	1	0	0	2008
1	2	196	165	2006
1	1	207	169	2007
1	2	205	168	2006
5	2	202	0	0
1	1	201	168	2008
1	2	196	169	2006
2	2	222	166	2005
1	1	196	165	0
1	2	205	166	2008
1	0	0	0	0
1	2	202	167	2006
1	2	199	169	2007
2	2	202	168	2004
1	1	199	171	2006
1	2	190	170	2006
1	2	208	168	2006
1	0	0	0	0
1	1	205	171	2007
5	2	206	0	0
1	2	224	167	2008
1	2	223	166	2008
5	1	211	0	0
1	2	228	170	2006
1	1	205	172	2008
1	2	228	165	2007
2	1	190	168	2005
1	1	199	172	2007
5	2	212	0	2008
1	2	204	0	2007
2	0	0	0	0
1	1	228	0	0
1	2	208	170	2006
2	1	207	171	2005
2	2	194	170	2005
1	2	209	170	2010
1	1	223	0	2007
1	1	199	172	2006
1	1	199	167	2007
1	1	196	166	2008
1	1	208	0	2008
1	1	223	170	2007
1	0	0	0	0
5	0	0	0	0
2	1	202	166	2005
2	1	212	169	2004
1	2	194	0	2009
1	2	222	172	2008
1	2	205	169	2006
1	1	190	172	2006
1	2	202	170	2005
1	2	204	168	2007
5	2	202	0	0
1	1	222	168	2008
1	2	228	167	2006
1	2	201	168	2008
5	0	199	0	0
2	2	204	167	2005
2	2	199	166	1984
2	1	223	169	0
2	1	196	165	2004
2	2	223	170	2004
5	2	222	165	2008
